"filename", "language", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\app-routing.module.ts", "TypeScript", 0, 23, 0, 0, 3, 26
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\app.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\app.component.html", "HTML", 3, 0, 0, 0, 2, 5
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 5, 36
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\app.module.ts", "TypeScript", 0, 32, 0, 0, 8, 40
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\about-us\about-us.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\about-us\about-us.component.html", "HTML", 49, 0, 0, 280, 3, 332
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\about-us\about-us.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\about-us\about-us.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\contact-us\contact-us.component.css", "CSS", 0, 0, 4, 0, 1, 5
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\contact-us\contact-us.component.html", "HTML", 139, 0, 0, 4, 3, 146
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\contact-us\contact-us.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\contact-us\contact-us.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\footer\footer.component.css", "CSS", 0, 0, 14, 0, 2, 16
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\footer\footer.component.html", "HTML", 116, 0, 0, 0, 3, 119
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\footer\footer.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\footer\footer.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\header\header.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\header\header.component.html", "HTML", 93, 0, 0, 0, 4, 97
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\header\header.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\header\header.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\homepage\homepage.component.css", "CSS", 0, 0, 7, 0, 0, 7
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\homepage\homepage.component.html", "HTML", 627, 0, 0, 23, 6, 656
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\homepage\homepage.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\homepage\homepage.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\signin\signin.component.css", "CSS", 0, 0, 5, 0, 0, 5
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\signin\signin.component.html", "HTML", 99, 0, 0, 6, 8, 113
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\signin\signin.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\signin\signin.component.ts", "TypeScript", 0, 22, 0, 0, 6, 28
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\trial-meal\trial-meal.component.css", "CSS", 0, 0, 21, 0, 1, 22
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\trial-meal\trial-meal.component.html", "HTML", 355, 0, 0, 14, 22, 391
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\trial-meal\trial-meal.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\trial-meal\trial-meal.component.ts", "TypeScript", 0, 26, 0, 0, 4, 30
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\view-menu\view-menu.component.css", "CSS", 0, 0, 3, 0, 0, 3
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\view-menu\view-menu.component.html", "HTML", 92, 0, 0, 1, 4, 97
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\view-menu\view-menu.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\hp\Desktop\vs code\angular\sprink-angular\src\app\components\view-menu\view-menu.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"Total", "-", 1573, 353, 54, 328, 168, 2476
